,time,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,gold_t,key
0,-89,17,116,178,273,63,41,77,0,branches
1,-89,17,116,178,273,63,41,77,293,branches
2,-89,17,116,178,273,63,41,77,705,faerie_fire
3,-89,17,116,178,273,63,41,77,1031,branches
4,-89,17,116,178,273,63,41,77,1369,ward_observer
5,-89,17,116,178,273,63,41,77,1874,tango
6,77,17,116,178,273,63,41,77,2308,bottle
7,161,17,116,178,273,63,41,77,3055,boots
8,162,17,116,178,273,63,41,77,3456,clarity
9,163,17,116,178,273,63,41,77,3841,clarity
10,234,17,116,178,273,63,41,77,4365,magic_stick
11,261,17,116,178,273,63,41,77,4584,magic_wand
12,311,17,116,178,273,63,41,77,4854,circlet
13,311,17,116,178,273,63,41,77,5524,mantle
14,311,17,116,178,273,63,41,77,5942,null_talisman
15,312,17,116,178,273,63,41,77,6412,clarity
16,312,17,116,178,273,63,41,77,7087,clarity
17,316,17,116,178,273,63,41,77,8054,ward_observer
18,385,17,116,178,273,63,41,77,8561,ring_of_protection
19,385,17,116,178,273,63,41,77,8801,gauntlets
20,385,17,116,178,273,63,41,77,9320,gauntlets
21,386,17,116,178,273,63,41,77,9937,soul_ring
22,386,17,116,178,273,63,41,77,10751,tpscroll
23,387,17,116,178,273,63,41,77,11146,clarity
24,423,17,116,178,273,63,41,77,11687,tpscroll
25,501,17,116,178,273,63,41,77,12584,gloves
26,519,17,116,178,273,63,41,77,13837,robe
27,522,17,116,178,273,63,41,77,14520,power_treads
28,578,17,116,178,273,63,41,77,0,tpscroll
29,580,17,116,178,273,63,41,77,301,clarity
30,703,17,116,178,273,63,41,77,611,clarity
31,703,17,116,178,273,63,41,77,983,clarity
32,703,17,116,178,273,63,41,77,1309,clarity
33,738,17,116,178,273,63,41,77,1588,ogre_axe
34,940,17,116,178,273,63,41,77,1890,tpscroll
35,1054,17,116,178,273,63,41,77,2471,mithril_hammer
36,1056,17,116,178,273,63,41,77,2726,tpscroll
37,1056,17,116,178,273,63,41,77,3356,clarity
38,1056,17,116,178,273,63,41,77,3728,clarity
39,1057,17,116,178,273,63,41,77,4031,black_king_bar
40,1230,17,116,178,273,63,41,77,4687,tpscroll
41,1336,17,116,178,273,63,41,77,5043,tpscroll
42,1341,17,116,178,273,63,41,77,5545,staff_of_wizardry
43,1341,17,116,178,273,63,41,77,6049,robe
44,1341,17,116,178,273,63,41,77,7063,kaya
45,1523,17,116,178,273,63,41,77,7349,ogre_axe
46,1523,17,116,178,273,63,41,77,7488,belt_of_strength
47,1523,17,116,178,273,63,41,77,7594,sange
48,1523,17,116,178,273,63,41,77,0,kaya_and_sange
49,1525,17,116,178,273,63,41,77,359,tpscroll
50,-84,129,50,1,178,73,36,73,459,quelling_blade
51,-84,129,50,1,178,73,36,73,620,gauntlets
52,-84,129,50,1,178,73,36,73,835,gauntlets
53,-83,129,50,1,178,73,36,73,977,faerie_fire
54,-82,129,50,1,178,73,36,73,1093,tango
55,-82,129,50,1,178,73,36,73,1199,branches
56,44,129,50,1,178,73,36,73,1370,magic_stick
57,116,129,50,1,178,73,36,73,1504,circlet
58,155,129,50,1,178,73,36,73,1700,circlet
59,158,129,50,1,178,73,36,73,1806,circlet
60,180,129,50,1,178,73,36,73,2053,bracer
61,255,129,50,1,178,73,36,73,2266,bracer
62,274,129,50,1,178,73,36,73,2372,ring_of_protection
63,314,129,50,1,178,73,36,73,2797,gauntlets
64,314,129,50,1,178,73,36,73,3177,gauntlets
65,382,129,50,1,178,73,36,73,3346,soul_ring
66,444,129,50,1,178,73,36,73,3452,boots
67,445,129,50,1,178,73,36,73,3558,branches
68,447,129,50,1,178,73,36,73,3932,magic_wand
69,625,129,50,1,178,73,36,73,4118,tpscroll
70,779,129,50,1,178,73,36,73,4451,blink
71,862,129,50,1,178,73,36,73,4643,chainmail
72,862,129,50,1,178,73,36,73,4945,blades_of_attack
73,889,129,50,1,178,73,36,73,5333,tpscroll
74,926,129,50,1,178,73,36,73,5661,phase_boots
75,-89,22,20,15,180,23,60,21,6182,tango
76,-89,22,20,15,180,23,60,21,6374,mantle
77,-89,22,20,15,180,23,60,21,6566,circlet
78,-89,22,20,15,180,23,60,21,6839,enchanted_mango
79,-89,22,20,15,180,23,60,21,7280,clarity
80,126,22,20,15,180,23,60,21,7905,clarity
81,126,22,20,15,180,23,60,21,8421,clarity
82,127,22,20,15,180,23,60,21,0,enchanted_mango
83,127,22,20,15,180,23,60,21,99,enchanted_mango
84,230,22,20,15,180,23,60,21,297,boots
85,231,22,20,15,180,23,60,21,397,clarity
86,232,22,20,15,180,23,60,21,537,clarity
87,235,22,20,15,180,23,60,21,677,ward_observer
88,411,22,20,15,180,23,60,21,783,clarity
89,412,22,20,15,180,23,60,21,925,clarity
90,412,22,20,15,180,23,60,21,1081,tpscroll
91,414,22,20,15,180,23,60,21,1187,enchanted_mango
92,414,22,20,15,180,23,60,21,1479,enchanted_mango
93,510,22,20,15,180,23,60,21,1759,ward_observer
94,511,22,20,15,180,23,60,21,1955,ward_sentry
95,511,22,20,15,180,23,60,21,2485,ward_sentry
96,516,22,20,15,180,23,60,21,2707,ward_observer
97,517,22,20,15,180,23,60,21,2813,smoke_of_deceit
98,687,22,20,15,180,23,60,21,3022,ward_observer
99,736,22,20,15,180,23,60,21,3385,arcane_boots
100,736,22,20,15,180,23,60,21,4097,energy_booster
101,789,22,20,15,180,23,60,21,4416,tpscroll
102,789,22,20,15,180,23,60,21,4602,ward_observer
103,1003,22,20,15,180,23,60,21,4875,ward_observer
104,1147,22,20,15,180,23,60,21,5151,aghanims_shard
105,1148,22,20,15,180,23,60,21,5343,ward_observer
106,1207,22,20,15,180,23,60,21,5535,tome_of_knowledge
107,1319,22,20,15,180,23,60,21,5767,ward_observer
108,1320,22,20,15,180,23,60,21,5959,smoke_of_deceit
109,1320,22,20,15,180,23,60,21,6509,smoke_of_deceit
110,1424,22,20,15,180,23,60,21,6892,ward_observer
111,1642,22,20,15,180,23,60,21,7170,staff_of_wizardry
112,1693,22,20,15,180,23,60,21,7362,point_booster
113,1755,22,20,15,180,23,60,21,7803,ward_observer
114,1755,22,20,15,180,23,60,21,7995,ward_observer
115,1875,22,20,15,180,23,60,21,8227,ogre_axe
116,-89,107,100,92,40,116,256,34,9249,tango
117,-89,107,100,92,40,116,256,34,9715,ward_observer
118,-89,107,100,92,40,116,256,34,10378,sobi_mask
119,-89,107,100,92,40,116,256,34,10680,circlet
120,-89,107,100,92,40,116,256,34,10912,ring_of_protection
121,-89,107,100,92,40,116,256,34,11099,ward_sentry
122,79,107,100,92,40,116,256,34,11373,flask
123,80,107,100,92,40,116,256,34,11896,clarity
124,81,107,100,92,40,116,256,34,12812,ward_observer
125,160,107,100,92,40,116,256,34,13889,tpscroll
126,295,107,100,92,40,116,256,34,14290,smoke_of_deceit
127,338,107,100,92,40,116,256,34,15027,urn_of_shadows
128,429,107,100,92,40,116,256,34,16013,magic_stick
129,431,107,100,92,40,116,256,34,16598,clarity
130,483,107,100,92,40,116,256,34,17425,ward_sentry
131,483,107,100,92,40,116,256,34,17707,ward_observer
132,604,107,100,92,40,116,256,34,18166,tome_of_knowledge
133,606,107,100,92,40,116,256,34,18375,tpscroll
134,612,107,100,92,40,116,256,34,0,infused_raindrop
135,703,107,100,92,40,116,256,34,300,smoke_of_deceit
136,786,107,100,92,40,116,256,34,559,ward_observer
137,786,107,100,92,40,116,256,34,855,ward_sentry
138,996,107,100,92,40,116,256,34,1072,staff_of_wizardry
139,997,107,100,92,40,116,256,34,1399,wind_lace
140,1126,107,100,92,40,116,256,34,1731,cyclone
141,1126,107,100,92,40,116,256,34,2211,void_stone
142,1244,107,100,92,40,116,256,34,2700,tome_of_knowledge
143,1268,107,100,92,40,116,256,34,3351,ward_observer
144,1268,107,100,92,40,116,256,34,4053,ward_sentry
145,1387,107,100,92,40,116,256,34,4249,ward_sentry
146,1387,107,100,92,40,116,256,34,4756,ward_sentry
147,1388,107,100,92,40,116,256,34,5376,smoke_of_deceit
148,1693,107,100,92,40,116,256,34,5815,ogre_axe
149,1914,107,100,92,40,116,256,34,5976,dust
150,1915,107,100,92,40,116,256,34,6731,dust
151,2057,107,100,92,40,116,256,34,7311,mithril_hammer
152,2062,107,100,92,40,116,256,34,8177,black_king_bar
153,2495,107,100,92,40,116,256,34,8741,aghanims_shard
154,2496,107,100,92,40,116,256,34,9681,tome_of_knowledge
155,2542,107,100,92,40,116,256,34,9787,dust
156,2543,107,100,92,40,116,256,34,11228,dust
157,2757,107,100,92,40,116,256,34,11738,dust
158,2757,107,100,92,40,116,256,34,12276,smoke_of_deceit
159,2758,107,100,92,40,116,256,34,13090,ward_observer
160,2758,107,100,92,40,116,256,34,14004,ward_sentry
161,2852,107,100,92,40,116,256,34,14922,gem
162,2959,107,100,92,40,116,256,34,15730,dust
163,2959,107,100,92,40,116,256,34,16723,dust
164,3008,107,100,92,40,116,256,34,17915,vitality_booster
165,3008,107,100,92,40,116,256,34,18905,energy_booster
166,3039,107,100,92,40,116,256,34,0,aeon_disk
167,-89,13,1,63,36,534,176,123,248,branches
168,-89,13,1,63,36,534,176,123,461,ward_observer
169,-89,13,1,63,36,534,176,123,870,branches
170,-89,13,1,63,36,534,176,123,1274,faerie_fire
171,-89,13,1,63,36,534,176,123,1525,tango
